near_earth,potentially_hazardous,absolute_magnitude_parameter,epoch,eccentricity,semi_major_axis,perihelion_distance,inclination,om,w,ma,ad,n,tp,per,per_y,moid_ld,sigma_i,sigma_w,class,rms
N,N,19.487,2459000.5,0.3024880555373174,2.31747566168244,1.616466955025061,8.616828891817182,120.2696144467907,151.2863781927204,150.6475990784307,3.018484368339819,0.279370986353277,2458461.2614733195,1288.609116856409,3.52801948489092,235.96622444,0.00071535,0.0029559,MCA,0.44852
N,N,16.1,2459000.5,0.01915600490423283,3.106359670610624,3.046854229526096,7.599659413802118,224.0863888933229,316.6054922186652,246.0497405682941,3.165865111695152,0.180022365937831,2459633.478345985,1999.751520454533,5.47502127434506,797.7089909,6.5152e-06,0.00016283,MBA,0.57734
N,N,15.6,2459000.5,0.1676798624044817,2.608937546379865,2.171471257581003,13.47344618425973,9.697765920705637,67.9368342061691,192.9624770171731,3.046403835178726,0.2338883281296661,2459714.676394857,1539.19608934234,4.21408922475658,476.8188674,9.34e-06,3.4746e-05,MBA,0.56499
N,N,19.1,2459000.5,0.2888921556885575,2.197469322091713,1.562637672573165,8.658255436693079,185.8168184353532,186.820178766294,257.7444226711822,2.832300971610261,0.3025658041590427,2459338.461448132,1189.823817005993,3.25756007393838,219.16030716,4.2673e-05,0.00087621,MCA,0.66681
N,N,15.5,2459000.5,0.0928064926140578,2.86644099714032,2.600416661910584,1.076425531738104,268.83367246295,67.47611043487389,260.1628192290794,3.132465332370055,0.2030904789882106,2459492.089666184,1772.608946482903,4.85313879940562,619.1616866,4.6009e-06,0.0002662,MBA,0.58503
N,N,19.4,2459000.5,0.2542127650095728,2.136411507605194,1.593308431058608,3.704391332738635,179.1194865911339,141.3595609042185,305.3254503065567,2.679514584151781,0.315628863112107,2459173.7241758704,1140.580099203833,3.12273812239242,226.8394096,1.1846e-05,0.00015351,MCA,0.36546
N,N,18.4,2459000.5,0.1243156429588158,2.203931857064418,1.929948651216038,4.860417146840066,64.93271967240294,5.466451642614817,236.4314901165034,2.477915062912798,0.3012359708547375,2459410.705028081,1195.076401329242,3.27194086606226,367.50957614,1.1553e-05,9.8561e-05,MBA,0.49775
N,N,17.0,2459000.5,0.1075868263188455,2.806514775024719,2.504570757362861,2.923300570850607,255.6763925078218,140.0473504264476,228.0812528998775,3.108458792686578,0.2096298263167259,2459629.793786185,1717.31287634653,4.70174641025744,588.5573578,6.9514e-06,0.00018993,MBA,0.55261
N,N,16.6,2459000.5,0.2003448226381039,2.380483834230361,1.903566222668606,1.323029711285667,159.1914664797409,221.9095065435482,300.5646026838187,2.857401445792116,0.2683528543722956,2459221.9822624307,1341.517312502885,3.67287422998736,352.8098469,4.7497e-06,0.00024927,MBA,0.54042
N,N,17.8,2459000.5,0.1696106043375786,2.467986119104033,2.049389501946042,2.710224696109282,3.265325074229219,255.9535395267726,319.2224879302256,2.886582736262023,0.2542084629978873,2459160.9097345495,1416.160562691384,3.87723631127005,403.2813042,1.3492e-05,0.00015534,MBA,0.66287
